[Script Info]
Title: Default Aegisub file
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 640
PlayResY: 480
ScaledBorderAndShadow: yes
Video Aspect Ratio: 0
Video Zoom: 6
Video Position: 0

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,MS UI Gothic,30,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,1.5,1.5,2,10,10,10,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:10:24.33,0:10:26.86,Default,,0000,0000,0000,,アンタらこそ　何様だ！\N
Dialogue: 0,0:10:26.86,0:10:29.72,Default,,0000,0000,0000,,いつまでも\Nアイツを子供扱いしやがって！\N
Dialogue: 0,0:10:29.72,0:10:34.77,Default,,0000,0000,0000,,木ノ葉の意志は受け継がれ\Nそして育っている。\N
Dialogue: 0,0:10:34.77,0:10:37.97,Default,,0000,0000,0000,,ナルトは今\N自来也を越えようとしている。\N
Dialogue: 0,0:10:37.97,0:10:40.66,Default,,0000,0000,0000,,アイツは　木ノ葉の隠し持つ→\N
Dialogue: 0,0:10:40.66,0:10:44.20,Default,,0000,0000,0000,,戦争抑止の道具なんかじゃない。\N
Dialogue: 0,0:10:44.20,0:10:46.72,Default,,0000,0000,0000,,木ノ葉を守る一人の忍→\N
Dialogue: 0,0:10:46.72,0:10:48.72,Default,,0000,0000,0000,,うずまきナルトだ！\N
Dialogue: 0,0:10:52.95,0:10:56.99,Default,,0000,0000,0000,,自来也　そして猿飛先生や\N砂のチヨ様にあって→\N
Dialogue: 0,0:10:56.99,0:11:00.02,Default,,0000,0000,0000,,アンタたちにないもの…。\N
Dialogue: 0,0:11:00.02,0:11:03.02,Default,,0000,0000,0000,,それが何だかわかるか？\N
Dialogue: 0,0:11:05.58,0:11:08.44,Default,,0000,0000,0000,,今日は　キミらに\Nわしの作った詞を→\N
Dialogue: 0,0:11:08.44,0:11:10.97,Default,,0000,0000,0000,,朗読して聞かせよう。\N
